case_group,n,avg_free_energy_mean,avg_free_energy_std,weight_suppression_ratio_mean,weight_suppression_ratio_std,vfe_malicious_auroc_mean,vfe_malicious_auroc_std
iid_benign,4,1.8146618738770486,0.08998414051122251,0.0,0.0,,
iid_malicious,4,1.945983999967575,0.1823313259537008,1.8303070801426817,0.3224979663271719,0.9,0.2
malratio_0p0,3,1.7777932683626811,0.07829674746712414,0.0,0.0,,
malratio_0p1,3,1.7777932683626811,0.07829674746712414,0.0,0.0,,
malratio_0p2,3,1.84784201780955,0.13923222700127397,1.325320527339794,0.8684227492948517,0.8,0.2
malratio_0p3,3,1.84784201780955,0.13923222700127397,1.325320527339794,0.8684227492948517,0.8,0.2
malratio_0p4,3,1.8656321545441945,0.21707770713792876,0.8886496728525729,0.4829113188261414,0.7666666666666666,0.2081665999466133
malratio_0p5,3,1.8656321545441945,0.21707770713792876,0.8886496728525729,0.4829113188261414,0.7666666666666666,0.2081665999466133
noniid_benign,4,1.815677434206009,0.09913506205777792,0.0,0.0,,
noniid_malicious,4,1.9610241055488586,0.25330709023621334,1.4647093562846836,0.7618983069940479,0.85,0.19148542155126763
poison_strength_0p0,3,1.7709011554718017,0.0634925874030441,0.9741544809798011,0.13109720074657888,0.4488888888888889,0.49032113437502856
poison_strength_12p0,3,2.219073286652565,0.24989758427116654,8.36121827818658,7.115627280088403,0.8,0.2
poison_strength_2p0,3,1.7815675338109334,0.09260478161659885,0.9698351581535212,0.3556820404444582,0.5777777777777778,0.22679734794974354
poison_strength_5p0,3,1.84784201780955,0.13923222700127397,1.325320527339794,0.8684227492948517,0.8,0.2
poison_strength_8p0,3,1.9789161831140518,0.18691475522063822,2.5521887774527894,2.011691305122388,0.8,0.2
seed_variance,5,1.8706497466564178,0.12393939802721382,1.8479775907529905,0.9459763566233835,0.84,0.1673320053068151
smoke,1,2.2544575929641724,0.0,1.6252539865842242,0.0,1.0,0.0
success_alpha0p05_ratio0p1_strength2p0,1,1.8643839538097382,0.0,0.0,0.0,,
success_alpha0p05_ratio0p1_strength5p0,1,1.8643839538097382,0.0,0.0,0.0,,
success_alpha0p05_ratio0p1_strength8p0,1,1.8643839538097382,0.0,0.0,0.0,,
success_alpha0p05_ratio0p3_strength2p0,1,1.8413704633712769,0.0,0.9333298078018003,0.0,0.3333333333333333,0.0
success_alpha0p05_ratio0p3_strength5p0,1,1.8590061992406846,0.0,1.4093557069984242,0.0,0.6,0.0
success_alpha0p05_ratio0p3_strength8p0,1,1.944382780790329,0.0,2.551347483557816,0.0,0.6,0.0
success_alpha0p05_ratio0p5_strength2p0,1,1.8658125281333924,0.0,0.9953496394304898,0.0,0.51,0.0
success_alpha0p05_ratio0p5_strength5p0,1,1.9855239540338516,0.0,1.4559819188461982,0.0,0.8,0.0
success_alpha0p05_ratio0p5_strength8p0,1,2.2324568435549734,0.0,2.547598816139225,0.0,0.8,0.0
success_alpha0p1_ratio0p1_strength2p0,1,1.8668211281299592,0.0,0.0,0.0,,
success_alpha0p1_ratio0p1_strength5p0,1,1.8668211281299592,0.0,0.0,0.0,,
success_alpha0p1_ratio0p1_strength8p0,1,1.8668211281299592,0.0,0.0,0.0,,
success_alpha0p1_ratio0p3_strength2p0,1,1.887821477651596,0.0,1.0090374996197093,0.0,0.3466666666666667,0.0
success_alpha0p1_ratio0p3_strength5p0,1,2.0036587059497832,0.0,1.6042961278123702,0.0,1.0,0.0
success_alpha0p1_ratio0p3_strength8p0,1,2.1839711248874663,0.0,3.323778215355538,0.0,1.0,0.0
success_alpha0p1_ratio0p5_strength2p0,1,1.8929415345191956,0.0,0.9547102577969983,0.0,0.38,0.0
success_alpha0p1_ratio0p5_strength5p0,1,2.113080954551697,0.0,1.446234836837252,0.0,1.0,0.0
success_alpha0p1_ratio0p5_strength8p0,1,2.4613931596279146,0.0,2.8626067401303517,0.0,1.0,0.0
success_alpha1p0_ratio0p1_strength2p0,1,1.8763600945472718,0.0,0.0,0.0,,
success_alpha1p0_ratio0p1_strength5p0,1,1.8712369978427887,0.0,0.0,0.0,,
success_alpha1p0_ratio0p1_strength8p0,1,1.8693340361118316,0.0,0.0,0.0,,
success_alpha1p0_ratio0p3_strength2p0,1,1.8542209565639496,0.0,0.5376774790988216,0.0,0.44,0.0
success_alpha1p0_ratio0p3_strength5p0,1,1.8696923524141311,0.0,1.8865247561380236,0.0,0.6,0.0
success_alpha1p0_ratio0p3_strength8p0,1,2.214278203248978,0.0,3.830207740852415,0.0,1.0,0.0
success_alpha1p0_ratio0p5_strength2p0,1,1.8889513432979583,0.0,1.0839226372822406,0.0,0.6,0.0
success_alpha1p0_ratio0p5_strength5p0,1,1.8194633454084397,0.0,0.46200254985554945,0.0,0.6,0.0
success_alpha1p0_ratio0p5_strength8p0,1,2.355143387615681,0.0,3.278798370529515,0.0,0.9,0.0
